[06-08 13:34:59]add harbor notice: ID[1],ГыіЖЎ¶Гавань Аргента] 
[06-08 13:34:59]add harbor notice: ID[2],ГыіЖЎ¶Гавань Громограда] 
[06-08 13:34:59]add harbor notice: ID[3],ГыіЖЎ¶Гавань Шайтана] 
[06-08 13:34:59]add harbor notice: ID[4],ГыіЖЎ¶Гавань Ледыни] 
[06-08 13:34:59]add harbor notice: ID[5],ГыіЖЎ¶Гавань острова Зефира] 
[06-08 13:34:59]add harbor notice: ID[6],ГыіЖЎ¶Гавань Ледяного острова] 
[06-08 13:34:59]add harbor notice: ID[7],ГыіЖЎ¶Гавань острова Отверженных] 
[06-08 13:34:59]add harbor notice: ID[8],ГыіЖЎ¶Гавань острова Стужи] 
[06-08 13:34:59]add harbor notice: ID[9],ГыіЖЎ¶Гавань острова Канареек] 
[06-08 13:34:59]add harbor notice: ID[10],ГыіЖЎ¶Гавань острова Купидона] 
[06-08 13:34:59]add harbor notice: ID[11],ГыіЖЎ¶Гавань острова Удачи] 
[06-08 13:34:59]add harbor notice: ID[12],ГыіЖЎ¶Мистическая гавань] 
[06-08 13:34:59]add harbor notice: ID[13],ГыіЖЎ¶Гавань острова Весны] 
[06-08 13:34:59]add harbor notice: ID[14],ГыіЖЎ¶Гавань острова Лета] 
[06-08 13:34:59]add harbor notice: ID[15],ГыіЖЎ¶Гавань острова Осени] 
[06-08 13:37:03]add harbor notice: ID[1],ГыіЖЎ¶Гавань Аргента] 
[06-08 13:37:03]add harbor notice: ID[2],ГыіЖЎ¶Гавань Громограда] 
[06-08 13:37:03]add harbor notice: ID[3],ГыіЖЎ¶Гавань Шайтана] 
[06-08 13:37:03]add harbor notice: ID[4],ГыіЖЎ¶Гавань Ледыни] 
[06-08 13:37:03]add harbor notice: ID[5],ГыіЖЎ¶Гавань острова Зефира] 
[06-08 13:37:03]add harbor notice: ID[6],ГыіЖЎ¶Гавань Ледяного острова] 
[06-08 13:37:03]add harbor notice: ID[7],ГыіЖЎ¶Гавань острова Отверженных] 
[06-08 13:37:03]add harbor notice: ID[8],ГыіЖЎ¶Гавань острова Стужи] 
[06-08 13:37:03]add harbor notice: ID[9],ГыіЖЎ¶Гавань острова Канареек] 
[06-08 13:37:03]add harbor notice: ID[10],ГыіЖЎ¶Гавань острова Купидона] 
[06-08 13:37:03]add harbor notice: ID[11],ГыіЖЎ¶Гавань острова Удачи] 
[06-08 13:37:03]add harbor notice: ID[12],ГыіЖЎ¶Мистическая гавань] 
[06-08 13:37:03]add harbor notice: ID[13],ГыіЖЎ¶Гавань острова Весны] 
[06-08 13:37:03]add harbor notice: ID[14],ГыіЖЎ¶Гавань острова Лета] 
[06-08 13:37:03]add harbor notice: ID[15],ГыіЖЎ¶Гавань острова Осени] 
[06-12 06:42:41]add harbor notice: ID[1],ГыіЖЎ¶Гавань Аргента] 
[06-12 06:42:41]add harbor notice: ID[2],ГыіЖЎ¶Гавань Громограда] 
[06-12 06:42:41]add harbor notice: ID[3],ГыіЖЎ¶Гавань Шайтана] 
[06-12 06:42:41]add harbor notice: ID[4],ГыіЖЎ¶Гавань Ледыни] 
[06-12 06:42:41]add harbor notice: ID[5],ГыіЖЎ¶Гавань острова Зефира] 
