[06-08 13:35:08]create bugbear74  pos = 347965 72432, angle = 145, rTime = 10800
[06-08 13:35:08]create bugbear187  pos = 349760 73393, angle = 145, rTime = 5400
[06-08 13:35:08]create bugbear187  pos = 350718 72057, angle = 145, rTime = 5400
[06-08 13:35:08]create bugbear471  pos = 91765 123732, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 83360 104793, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 83818 104757, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 83018 106954, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 83471 106730, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 83291 106915, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 84512 111113, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 84660 111241, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 85207 113368, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 99853 122272, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 99647 122326, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 97398 123257, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 95755 123412, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 93903 123527, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 94150 123469, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 93525 121911, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 93228 121895, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 92264 118384, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 92224 118512, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 91090 114878, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 91278 114986, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 89463 109557, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 89641 109640, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 92709 103590, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 92595 104245, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 84858 106448, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 87092 108349, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 86962 108469, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 90067 109571, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 94549 110296, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 94394 110181, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 96980 113876, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 96802 114042, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 99930 119048, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 100119 119067, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 98873 113851, angle = 145, rTime = 60
[06-08 13:35:08]create bugbear471  pos = 102170 115141, angle = 145, rTime = 60
