[06-13 17:04:46]During script transfer can_open_entry_hell (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:04:48]During script transfer can_open_entry_starena33 (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:04:51]During script transfer can_open_entry_hell (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:04:53]During script transfer can_open_entry_starena33 (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:04:56]During script transfer can_open_entry_hell (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:04:58]During script transfer can_open_entry_starena33 (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:05:01]During script transfer can_open_entry_hell (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:05:03]During script transfer can_open_entry_starena33 (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:05:06]During script transfer can_open_entry_hell (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:05:08]During script transfer can_open_entry_starena33 (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:05:11]During script transfer can_open_entry_hell (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:05:13]During script transfer can_open_entry_starena33 (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:05:16]During script transfer can_open_entry_hell (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:05:18]During script transfer can_open_entry_starena33 (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:05:21]During script transfer can_open_entry_hell (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:05:23]During script transfer can_open_entry_starena33 (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:05:26]During script transfer can_open_entry_hell (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:05:28]During script transfer can_open_entry_starena33 (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:05:31]During script transfer can_open_entry_hell (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:05:33]During script transfer can_open_entry_starena33 (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:05:36]During script transfer can_open_entry_hell (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:05:38]During script transfer can_open_entry_starena33 (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:05:41]During script transfer can_open_entry_hell (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:05:43]During script transfer can_open_entry_starena33 (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:05:46]During script transfer can_open_entry_hell (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:05:48]During script transfer can_open_entry_starena33 (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:05:51]During script transfer can_open_entry_hell (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:05:53]During script transfer can_open_entry_starena33 (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:05:56]During script transfer can_open_entry_hell (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:05:58]During script transfer can_open_entry_starena33 (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:06:01]During script transfer can_open_entry_hell (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:06:03]During script transfer can_open_entry_starena33 (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:06:06]During script transfer can_open_entry_hell (parameter 1 quantity, return value 1 quantity), return value does not match! 
[06-13 17:06:08]During script transfer can_open_entry_starena33 (parameter 1 quantity, return value 1 quantity), return value does not match! 
