time,memory size,virtual memory size,physical available size
06-12 06:42:35,5.30859,2.85938,1620.38
06-12 06:43:35,1493.8,1511.66,521.289
06-12 06:44:35,1493.95,1511.76,649.598
06-12 06:45:35,1493.96,1511.76,668.859
06-12 06:46:35,1493.96,1511.76,668.691
06-12 06:47:35,1493.96,1511.76,651.5
06-12 06:48:35,1493.96,1511.76,608.555
06-12 06:49:35,1493.96,1511.76,576.684
06-12 06:50:35,1493.96,1511.76,559.051
06-12 06:51:35,1493.96,1511.76,550.438
06-12 06:52:35,1493.96,1511.76,555.277
06-12 06:53:35,1493.96,1511.76,585.195
06-12 06:54:35,1493.96,1511.76,532.586
06-12 06:55:35,1493.96,1511.76,435.195
06-12 06:56:35,1515.1,1535.3,595.145
06-12 06:57:35,1515.1,1535.3,594.238
06-12 06:58:35,1515.1,1535.3,596.367
06-12 06:59:35,1515.1,1535.3,537.965
06-12 07:00:35,1515.83,1536.14,573.363
06-12 07:01:35,1515.83,1536.14,569.738
06-12 07:02:35,1515.83,1536.14,425.297
06-12 07:03:35,1515.83,1536.14,435.422
06-12 07:04:35,1515.83,1536.14,445.523
06-12 07:05:35,1515.83,1536.14,349.73
