[06-08 13:34:59]Set wood resource loading notice: Level, ItemID, Count, PileID 1  4543  10  4547  
[06-08 13:34:59]set ore resource loading notice: level, ItemID, Count, PileID 1  4544  10  4548  
[06-08 13:34:59]set ore resource loading notice: level, ItemID, Count, PileID 2  4545  10  4549  
[06-08 13:34:59]set ore resource loading notice: level, ItemID, Count, PileID 3  4546  10  4550  
[06-08 13:37:03]Set wood resource loading notice: Level, ItemID, Count, PileID 1  4543  10  4547  
[06-08 13:37:03]set ore resource loading notice: level, ItemID, Count, PileID 1  4544  10  4548  
[06-08 13:37:03]set ore resource loading notice: level, ItemID, Count, PileID 2  4545  10  4549  
[06-08 13:37:03]set ore resource loading notice: level, ItemID, Count, PileID 3  4546  10  4550  
[06-12 06:42:41]Set wood resource loading notice: Level, ItemID, Count, PileID 1  4543  10  4547  
[06-12 06:42:41]set ore resource loading notice: level, ItemID, Count, PileID 1  4544  10  4548  
[06-12 06:42:41]set ore resource loading notice: level, ItemID, Count, PileID 2  4545  10  4549  
[06-12 06:42:41]set ore resource loading notice: level, ItemID, Count, PileID 3  4546  10  4550  
[06-12 07:08:40]Set wood resource loading notice: Level, ItemID, Count, PileID 1  4543  10  4547  
[06-12 07:08:40]set ore resource loading notice: level, ItemID, Count, PileID 1  4544  10  4548  
[06-12 07:08:40]set ore resource loading notice: level, ItemID, Count, PileID 2  4545  10  4549  
[06-12 07:08:40]set ore resource loading notice: level, ItemID, Count, PileID 3  4546  10  4550  
[06-12 07:11:29]Set wood resource loading notice: Level, ItemID, Count, PileID 1  4543  10  4547  
[06-12 07:11:29]set ore resource loading notice: level, ItemID, Count, PileID 1  4544  10  4548  
[06-12 07:11:29]set ore resource loading notice: level, ItemID, Count, PileID 2  4545  10  4549  
[06-12 07:11:29]set ore resource loading notice: level, ItemID, Count, PileID 3  4546  10  4550  
[06-12 07:11:56]Set wood resource loading notice: Level, ItemID, Count, PileID 1  4543  10  4547  
[06-12 07:11:56]set ore resource loading notice: level, ItemID, Count, PileID 1  4544  10  4548  
[06-12 07:11:56]set ore resource loading notice: level, ItemID, Count, PileID 2  4545  10  4549  
[06-12 07:11:56]set ore resource loading notice: level, ItemID, Count, PileID 3  4546  10  4550  
[06-13 17:04:30]Set wood resource loading notice: Level, ItemID, Count, PileID 1  4543  10  4547  
[06-13 17:04:30]set ore resource loading notice: level, ItemID, Count, PileID 1  4544  10  4548  
[06-13 17:04:30]set ore resource loading notice: level, ItemID, Count, PileID 2  4545  10  4549  
[06-13 17:04:30]set ore resource loading notice: level, ItemID, Count, PileID 3  4546  10  4550  
[06-18 06:14:17]Set wood resource loading notice: Level, ItemID, Count, PileID 1  4543  10  4547  
[06-18 06:14:17]set ore resource loading notice: level, ItemID, Count, PileID 1  4544  10  4548  
[06-18 06:14:17]set ore resource loading notice: level, ItemID, Count, PileID 2  4545  10  4549  
[06-18 06:14:17]set ore resource loading notice: level, ItemID, Count, PileID 3  4546  10  4550  
