[06-13 17:20:46]ChaID: 872, ChaName: BopoHange1, CMD: make, Param: 2837,1
[06-13 17:21:38]ChaID: 872, ChaName: BopoHange1, CMD: make, Param: 7002,1
[06-13 17:22:13]ChaID: 872, ChaName: BopoHange1, CMD: make, Param: 2578,1
[06-13 17:22:42]ChaID: 872, ChaName: BopoHange1, CMD: make, Param: 2578,1
[06-13 17:23:03]ChaID: 872, ChaName: BopoHange1, CMD: make, Param: 7765,1
[06-13 17:23:43]ChaID: 872, ChaName: BopoHange1, CMD: make, Param: 5827,1
[06-13 17:24:17]ChaID: 872, ChaName: BopoHange1, CMD: make, Param: 6638,1
[06-13 17:27:34]ChaID: 872, ChaName: BopoHange1, CMD: make, Param: 7701,1
[06-13 17:27:38]ChaID: 872, ChaName: BopoHange1, CMD: make, Param: 7701,2
[06-13 17:27:45]ChaID: 872, ChaName: BopoHange1, CMD: make, Param: 7702,1
[06-13 17:27:50]ChaID: 872, ChaName: BopoHange1, CMD: make, Param: 7703,1
