[06-13 17:15:06]AddBoatLevel: count, level, money, exp 1  2  2  4  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 2  3  5  9  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 3  4  8  16  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 4  5  13  25  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 5  6  18  36  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 6  7  24  49  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 7  8  31  64  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 8  9  40  81  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 9  10  50  100  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 10  11  61  121  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 11  12  75  144  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 12  13  91  169  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 13  14  109  196  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 14  15  130  225  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 15  16  155  256  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 16  17  183  289  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 17  18  216  324  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 18  19  253  361  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 19  20  296  400  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 20  21  345  441  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 21  22  402  484  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 22  23  466  529  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 23  24  540  576  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 24  25  625  625  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 25  26  721  676  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 26  27  831  729  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 27  28  957  784  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 28  29  1101  841  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 29  30  1264  900  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 30  31  1451  961  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 31  32  1663  1024  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 32  33  1905  1089  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 33  34  2180  1156  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 34  35  2494  1225  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 35  36  2850  1296  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 36  37  3256  1369  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 37  38  3718  1444  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 38  39  4242  1521  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 39  40  4838  1600  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 40  41  5516  1681  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 41  42  6286  1764  
