[06-13 17:16:34]Create monster 465 pos =136928 308545, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =134539 305782, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =134607 305753, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =132655 305728, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =129813 305893, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =129998 306175, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =130333 308187, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =129955 309115, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =129956 311964, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =129755 312717, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =129920 318168, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =130520 318706, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =131074 317223, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =131577 315771, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =132204 314971, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =131194 313386, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =132499 313175, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =133012 312942, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =133016 313078, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =132485 316793, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =132228 316940, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =133216 320061, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =135844 321346, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =136010 321349, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =139039 320930, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =140901 321208, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =144681 320324, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =144611 320296, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =145943 318785, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =145806 318804, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =144085 319340, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =146348 315465, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =146336 315393, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =145058 311192, angle =145, rTime =60
[06-13 17:16:34]Create monster 465 pos =144647 312739, angle =145, rTime =60
