[06-13 17:14:57]85,Штурвал Моряка, Character ID:1
[06-13 17:14:57]86,Штурвал Пирата, Character ID:1
[06-13 17:14:57]87,Штурвал Помощника капитана, Character ID:1
[06-13 17:14:57]90,Штурвал капитана 1-го ранга, Character ID:1
[06-13 17:14:57]91,Штурвал старшего помощника командира, Character ID:1
[06-13 17:14:57]92,Штурвал полковника, Character ID:1
[06-13 17:14:57]93,Штурвал Генерала, Character ID:1
[06-13 17:14:57]94,Штурвал маршала, Character ID:1
[06-13 17:14:57]95,Штурвал адмирала, Character ID:1
[06-13 17:14:57]96,Штурвал Капитана, Character ID:1
[06-13 17:14:57]135,Стрела 01, Character ID:1
[06-13 17:14:57]149,Порох 01, Character ID:1
[06-13 17:14:57]200,Левая гипсовая перчатка, Character ID:1
[06-13 17:14:57]201,Левая перчатка драчуна, Character ID:1
[06-13 17:14:57]202,Левая перчатка мастера, Character ID:1
[06-13 17:14:57]203,Левое зубчатое лезвие, Character ID:1
[06-13 17:14:57]204,Левый астральный клинок, Character ID:1
[06-13 17:14:57]205,Левая тигровая перчатка, Character ID:1
[06-13 17:14:57]206,Левая рука смерти, Character ID:1
[06-13 17:14:58]635,Коралл удара 1 ур., Character ID:2
[06-13 17:14:58]636,Коралл удара 2 ур., Character ID:2
[06-13 17:14:58]637,Коралл удара 3 ур., Character ID:2
[06-13 17:14:58]638,Коралл удара 4 ур. , Character ID:2
[06-13 17:14:58]639,Коралл удара 5 ур. , Character ID:2
[06-13 17:14:58]1124,Каменный торс Хаоса, Character ID:1
[06-13 17:14:58]1125,Каменная рука Хаоса, Character ID:1
[06-13 17:14:58]1126,Каменная нога Хаоса, Character ID:1
[06-13 17:14:58]1127,Коронационный камень Хаоса, Character ID:4
[06-13 17:14:58]1999,Неудавшаяся прическа Ланса 1, Character ID:2
[06-13 17:14:58]2000,Прическа 1, Character ID:2
[06-13 17:14:58]2001,Прическа 2, Character ID:2
[06-13 17:14:58]2002,Прическа 3, Character ID:2
[06-13 17:14:58]2003,Прическа 4, Character ID:2
[06-13 17:14:58]2004,Прическа 5, Character ID:2
[06-13 17:14:58]2005,Прическа 6, Character ID:2
[06-13 17:14:58]2006,Прическа 7, Character ID:2
[06-13 17:14:58]2007,Прическа 8, Character ID:2
[06-13 17:14:58]2008,Порученец, Character ID:2
[06-13 17:14:58]2009,Прическа 1, Character ID:2
[06-13 17:14:58]2010,Прическа 1, Character ID:2
[06-13 17:14:58]2011,Прическа 1, Character ID:2
[06-13 17:14:58]2012,Прическа 1, Character ID:2
[06-13 17:14:58]2013,Прическа 1, Character ID:2
[06-13 17:14:58]2014,Прическа 1, Character ID:2
[06-13 17:14:58]2015,Прическа 2, Character ID:2
[06-13 17:14:58]2016,Прическа 2, Character ID:2
[06-13 17:14:58]2017,Прическа 2, Character ID:2
[06-13 17:14:58]2018,Прическа 2, Character ID:2
[06-13 17:14:58]2019,Прическа 2, Character ID:2
[06-13 17:14:58]2020,Прическа 2, Character ID:2
[06-13 17:14:58]2021,Прическа 3, Character ID:2
[06-13 17:14:58]2022,Прическа 3, Character ID:2
[06-13 17:14:58]2023,Прическа 3, Character ID:2
[06-13 17:14:58]2024,Прическа 3, Character ID:2
[06-13 17:14:58]2025,Прическа 3, Character ID:2
[06-13 17:14:58]2026,Прическа 3, Character ID:2
[06-13 17:14:58]2027,Прическа 4, Character ID:2
[06-13 17:14:58]2028,Прическа 4, Character ID:2
[06-13 17:14:58]2029,Прическа 4, Character ID:2
[06-13 17:14:58]2030,Прическа 4, Character ID:2
[06-13 17:14:58]2031,Прическа 4, Character ID:2
[06-13 17:14:58]2032,Прическа 4, Character ID:2
[06-13 17:14:58]2033,Прическа 5, Character ID:2
[06-13 17:14:58]2034,Прическа 5, Character ID:2
[06-13 17:14:58]2035,Прическа 5, Character ID:2
[06-13 17:14:58]2036,Прическа 5, Character ID:2
[06-13 17:14:58]2037,Прическа 5, Character ID:2
[06-13 17:14:58]2038,Прическа 5, Character ID:2
[06-13 17:14:58]2039,Прическа 5, Character ID:2
[06-13 17:14:58]2040,Прическа 6, Character ID:2
[06-13 17:14:58]2041,Прическа 6, Character ID:2
[06-13 17:14:58]2042,Прическа 6, Character ID:2
[06-13 17:14:58]2043,Прическа 6, Character ID:2
[06-13 17:14:58]2044,Прическа 6, Character ID:2
[06-13 17:14:58]2045,Прическа 6, Character ID:2
[06-13 17:14:58]2046,Прическа 6, Character ID:2
[06-13 17:14:58]2047,Прическа 7, Character ID:2
[06-13 17:14:58]2048,Прическа 7, Character ID:2
[06-13 17:14:58]2049,Прическа 7, Character ID:2
[06-13 17:14:58]2050,Прическа 7, Character ID:2
[06-13 17:14:58]2051,Прическа 7, Character ID:2
[06-13 17:14:58]2052,Прическа 7, Character ID:2
[06-13 17:14:58]2053,Прическа 7, Character ID:2
[06-13 17:14:58]2054,Прическа 8, Character ID:2
[06-13 17:14:58]2055,Прическа 8, Character ID:2
[06-13 17:14:58]2056,Прическа 8, Character ID:2
[06-13 17:14:58]2057,Прическа 8, Character ID:2
[06-13 17:14:58]2058,Прическа 8, Character ID:2
[06-13 17:14:58]2059,Прическа 8, Character ID:2
[06-13 17:14:58]2060,Мужская 1 прическа - налысо, Character ID:2
[06-13 17:14:58]2061,Неудавшаяся прическа Ланса 2, Character ID:2
[06-13 17:14:58]2062,Прическа 1, Character ID:1
[06-13 17:14:58]2063,Прическа 2, Character ID:1
[06-13 17:14:58]2064,Прическа 3, Character ID:1
[06-13 17:14:58]2065,Прическа 4, Character ID:1
[06-13 17:14:58]2066,Прическа 5, Character ID:1
[06-13 17:14:58]2067,Прическа 6, Character ID:1
[06-13 17:14:58]2068,Прическа 7, Character ID:1
[06-13 17:14:58]2069,Прическа 8, Character ID:1
[06-13 17:14:58]2070,Порученец, Character ID:1
[06-13 17:14:58]2071,Прическа 1, Character ID:1
[06-13 17:14:58]2072,Прическа 1, Character ID:1
[06-13 17:14:58]2073,Прическа 1, Character ID:1
[06-13 17:14:58]2074,Прическа 1, Character ID:1
[06-13 17:14:58]2075,Прическа 1, Character ID:1
[06-13 17:14:58]2076,Прическа 1, Character ID:1
[06-13 17:14:58]2077,Прическа 1, Character ID:1
[06-13 17:14:58]2078,Прическа 2, Character ID:1
