[06-13 17:16:34]SaleGoodsData, count, level, id, num, price, range, curprice 1  1  4561  480  400  89  474  
[06-13 17:16:34]SaleGoodsData, count, level, id, num, price, range, curprice 2  2  4562  300  436  97  508  
[06-13 17:16:34]SaleGoodsData, count, level, id, num, price, range, curprice 3  2  4563  240  468  104  513  
[06-13 17:16:34]BuyGoodsData, count, level, id, num, price, range, curprice 1  0  4578  -1  1014  225  1182  
[06-13 17:16:34]BuyGoodsData, count, level, id, num, price, range, curprice 2  0  4580  -1  1056  705  1445  
[06-13 17:16:34]BuyGoodsData, count, level, id, num, price, range, curprice 3  0  4586  -1  936  208  1017  
[06-13 17:16:34]BuyGoodsData, count, level, id, num, price, range, curprice 4  0  4588  -1  1042  695  1071  
[06-13 17:16:34]BuyGoodsData, count, level, id, num, price, range, curprice 5  0  4590  -1  673  149  781  
[06-13 17:16:34]BuyGoodsData, count, level, id, num, price, range, curprice 6  0  4592  -1  909  202  944  
[06-13 17:16:34]BuyGoodsData, count, level, id, num, price, range, curprice 7  0  4594  -1  954  212  1034  
[06-13 17:16:34]BuyGoodsData, count, level, id, num, price, range, curprice 8  0  4596  -1  955  637  1541  
[06-13 17:16:34]BuyGoodsData, count, level, id, num, price, range, curprice 9  0  4598  -1  954  212  1090  
[06-13 17:16:34]BuyGoodsData, count, level, id, num, price, range, curprice 10  0  4599  -1  988  219  1184  
[06-13 17:16:34]BuyGoodsData, count, level, id, num, price, range, curprice 11  0  4601  -1  1049  699  1103  
[06-13 17:16:34]BuyGoodsData, count, level, id, num, price, range, curprice 12  0  4554  -1  1077  239  1221  
[06-13 17:16:34]BuyGoodsData, count, level, id, num, price, range, curprice 13  0  4556  -1  879  195  1067  
[06-13 17:16:34]BuyGoodsData, count, level, id, num, price, range, curprice 14  0  4558  -1  837  186  903  
[06-13 17:16:34]BuyGoodsData, count, level, id, num, price, range, curprice 15  0  4559  -1  920  205  991  
[06-13 17:16:34]BuyGoodsData, count, level, id, num, price, range, curprice 16  0  4560  -1  1039  231  1046  
[06-13 17:16:34]BuyGoodsData, count, level, id, num, price, range, curprice 17  0  4566  -1  854  189  862  
[06-13 17:16:34]BuyGoodsData, count, level, id, num, price, range, curprice 18  0  4569  -1  1052  233  1122  
[06-13 17:16:34]BuyGoodsData, count, level, id, num, price, range, curprice 19  0  4572  -1  872  193  900  
[06-13 17:16:34]SaleGoodsData, count, level, id, num, price, range, curprice 1  0  4564  800  283  63  337  
[06-13 17:16:34]SaleGoodsData, count, level, id, num, price, range, curprice 2  1  4565  560  342  76  367  
