//spawnid	startpos	endpos	direction	monsterID	count	Rfprobability	RFTime	commotion	note	·ÖÇø±àºÅ
1	61100,28800	77300,42600	-1	234	21	100	10	40	0	Lower Icicle 1
2	62100,28800	69300,37600	-1	228	56	100	20	40	0	Lower Icicle 1A
3	62100,39700	69300,42600	-1	233	22	100	15	40	0	Lower Icicle 1B
4	70300,42700	77300,42600	-1	232	22	100	15	40	0	Lower Icicle 1C
5	71300,33800	77300,37800	-1	46	42	100	15	40	0	Lower Icicle 1D
6	71100,27800	83300,30800	-1	232,233	21,21	100,100	15,16	40	0	Lower Icicle 1E
7	77500,28800	88200,44800	-1	239	17	100	10	40	0	Lower Icicle 2
8	83500,30800	93500,35800	-1	34,266	37,37	100,100	15	40	0	Lower Icicle 2A
9	88900,28800	110000,45500	-1	216	35	100	10	40	0	Lower Icicle 3
10	88900,37500	100000,45500	-1	214	46	100	10	40	0	Lower Icicle 3A
11	88900,27500	110000,45500	-1	83	50	100	10	40	0	Lower Icicle 3B
12	109800,27800	149500,32200	-1	216	21	100	10	40	0	Lower Icicle 4
13	109800,28800	123000,32200	-1	238	25	100	10	40	0	Lower Icicle 4A
14	125000,28800	140000,32200	-1	240	25	100	10	40	0	Lower Icicle 4B
15	109800,32300	126100,55000	-1	216,234	14,12	100,100	10,10	40	0	Lower Icicle 5
16	111800,34300	124100,40000	-1	239	42	100	10	40	0	Lower Icicle 5A
17	111800,42000	124100,53000	-1	235	28	100	10	40	0	Lower Icicle 5B
18	143700,33300	149400,49100	-1	216	14	100	10	40	0	Lower Icicle 6
19	143700,36300	149400,44100	-1	234,235	35,31	100,100	10,10	40	0	Lower Icicle 6A
20	77800,43900	90800,54800	-1	234	17	100	10	40	0	Lower Icicle 7
21	84800,43900	89800,48800	-1	46	28	100	15	40	0	Lower Icicle 7A
22	79800,48800	89800,54800	-1	32	42	100	15	40	0	Lower Icicle 7B
23	88500,45800	112900,58300	-1	216	24	100	10	40	0	Lower Icicle 8
24	102900,45800	112900,58300	-1	51	52	100	10	40	0	Lower Icicle 8A
25	88500,51800	101900,58300	-1	130	52	100	15	40	0	Lower Icicle 8B
26	109800,55000	132700,60700	-1	216,234	14,14	100,100	10,10	40	0	Lower Icicle 9
27	110000,56000	121000,59700	-1	216,234	20,17	100,100	10,10	40	0	Lower Icicle 9A
28	138300,50900	158800,73200	-1	233,232	17,17	100,100	15,15	40	0	Lower Icicle 10
29	140300,63200	158800,70200	-1	98	45	100	30	40	0	Lower Icicle 10A
30	154800,53200	162800,60000	-1	98,257	14,14	100,100	30,70	40	0	Lower Icicle 10B
31	140300,52900	150800,59200	-1	296	38	100	30	40	0	Lower Icicle 10C
32	83300,59200	98300,71000	-1	228	17	100	20	40	0	Lower Icicle 11
