//Serial	NPC Name	NPC Type	Chrindex ID	Show Mini-map	Coordinates starting point	Coordination Goal	NPC placement	Region	Region ID	NPC Script	info manage	Test Status
0	Кузнец - Баш	1	436	1	134423,52988	134423,52988	174	Lower Icicle Castle	20	0	r_talk73	0
1	Бакалейщик - Палпин	1	19	12	135671,48320	135671,48320	174	Lower Icicle Castle	20	0	r_talk74	0
2	Целитель - Дайша	1	19	11	135298,49926	135298,49926	279	Lower Icicle Castle	20	0	r_talk75	0
3	Сиделка - Анна	1	419	3	131811,50056	131811,50056	-289	Lower Icicle Castle	20	0	r_talk76	0
4	Наставница - Анжела	1	11	15	131577,50700	131577,50700	144	Lower Icicle Castle	20	0	r_talk77	0
5	Мечник Ледыни - Рэй	1	5	0	136573,57078	136573,57078	219	Lower Icicle Castle	20	0	r_talk78	0
6	Глава Ледыни - Рейно	1	415	0	129486,49842	129486,49842	189	Lower Icicle Castle	20	0	r_talk79	0
7	Монарх Ледыни - Мас	1	421	0	134652,45141	134652,45141	189	Lower Icicle Castle	20	0	r_talk80	0
8	Банкир - Белинда	1	27	0	136058,51931	136058,51931	264	Lower Icicle Castle	20	0	r_talk81	0
9	Официантка - Бабара	1	400	0	131083,53031	131083,53031	204	Lower Icicle Castle	20	0	r_talk82	0
10	Портной - Ханна	1	401	2	134926,53992	134926,53992	279	Lower Icicle Castle	20	0	r_talk83	0
11	Трактирщик - Яски	1	17	0	129074,54098	129074,54098	99	Lower Icicle Castle	20	0	r_talk84	0
12	Портальщик Ледыни - Элен	1	400	7	132304,54403	132304,54403	324	Lower Icicle Castle	20	0	GoToWhere	0
15	Администратор Арены	1	11	7	47228,339523	47228,339523	219	Arena Isle	70	0	GoToWhere	0
13	Прохожий - Тинк	1	425	0	133550,46900	133550,46900	189	Lower Icicle Castle	20	0	r_talk85	0
16	Малыш Мо	1	12	0	123788,61340	123788,61340	159	Atlantis Snow Field	21	0	r_talk90	0
17	Выннь	1	444	0	138002,52336	138002,52336	24	Upper Icicle Castle	19	0	r_talk130	0
18	Лесси	1	402	0	137986,61256	137986,61256	174	Upper Icicle Castle	19	0	r_talk131	0
19	Додо	1	421	0	159085,53164	159085,53164	219	Atlantis Snow Field	21	0	r_talk132	0
20	Лямут	1	429	0	153655,70473	153655,70473	309	Atlantis Snow Field	21	0	r_talk134	0
21	Айрисис	1	441	0	127507,67204	127507,67204	219	Atlantis Snow Field	21	0	r_talk135	0
22	Елуна	1	442	0	114118,57546	114118,57546	114	Atlantis Snow Field	21	0	r_talk136	0
23	Шереда	1	415	0	106780,45276	106780,45276	84	Atlantis Snow Field	21	0	r_talk137	0
24	Чао	1	420	0	96497,42207	96497,42207	144	Atlantis Snow Field	21	0	r_talk138	0
25	Клубничка	1	423	0	101059,35051	101059,35051	144	Atlantis Snow Field	21	0	r_talk139	0
26	Ева	1	424	0	142607,28569	142607,28569	129	Atlantis Snow Field	21	0	r_talk140	0
27	Сюзанна	1	437	0	116325,43576	116325,43576	174	Atlantis Snow Field	21	0	r_talk141	0
28	Каролина	1	443	0	116056,69273	116056,69273	219	Atlantis Snow Field	21	0	r_talk142	0
29	Джемесон	1	19	0	104332,78068	104332,78068	189	Atlantis Snow Field	21	0	r_talk143	0
30	Люси	1	16	0	93685,81858	93685,81858	9	Atlantis Snow Field	21	0	r_talk144	0
31	Юландор	1	19	0	78915,79584	78915,79584	54	Atlantis Snow Field	21	0	r_talk145	0
32	Кетан	1	404	0	99778,45483	99778,45483	144	Atlantis Snow Field	21	0	r_talk148	0
33	Девушка Елена	1	443	0	128093,47812	128093,47812	294	Lower Icicle Castle	20	0	r_talk149	0
34	Диспетчер порта - Силион	1	442	9	121425,68118	121425,68118	159	Atlantis Snow Field	21	0	r_talk154	0
35	Корабел - Джордж	1	405	0	122154,62890	122154,62890	129	Atlantis Snow Field	21	0	r_talk155	0
36	Моряк - Аякс	1	445	0	122113,61745	122113,61745	99	Atlantis Snow Field	21	0	r_talk156	0
37	Вилли	1	16	0	102816,66840	102816,66840	99	Atlantis Haven	59	0	r_talk126	0
38	Зурби	1	445	0	103790,67165	103790,67165	9	Atlantis Haven	59	0	r_talk170	0
39	Гасардий	1	431	0	102832,64970	102832,64970	174	Atlantis Haven	59	0	r_talk118	0
40	Джули Огонек	1	30	0	104946,67361	104946,67361	324	Atlantis Haven	59	0	r_talk106	0
41	Алкар	1	420	11	105963,66117	105963,66117	303	Atlantis Haven	59	0	r_talk171	0
42	Портальщик - Софья	1	400	7	104687,63961	104687,63961	84	Atlantis Haven	59	0	transmittal	0
43	Оракул - Лунный Свет	1	442	0	213412,55559	213412,55559	129	Skeleton Haven	60	0	r_talk119	0
44	Зевс	1	405	0	213813,54555	213813,54555	159	Skeleton Haven	60	0	r_talk172	0
45	Хохо	1	413	11	214262,55609	214262,55609	204	Skeleton Haven	60	0	r_talk173	0
46	Портальщик - Мина	1	400	7	211692,55139	211692,55139	144	Skeleton Haven	60	0	transmittal	0
47	Неля	1	443	0	267573,63174	267573,63174	170	Icespire Haven	64	0	r_talk121	0
48	Лулу	1	402	0	266885,63490	266885,63490	159	Icespire Haven	64	0	r_talk99	0
49	Миккилон	1	402	0	266292,64821	266292,64821	99	Icespire Haven	64	0	r_talk174	0
50	Фарди	1	17	11	268019,65721	268019,65721	-34	Icespire Haven	64	0	r_talk95	0
51	Портальщица - Артемида	1	400	7	269637,63821	269637,63821	159	Icespire Haven	64	0	transmittal	0
52	Джернис	1	421	0	80392,35216	80392,35216	144	Icicle Haven	56	0	r_talk110	0
53	Бабушка Донг	1	26	0	79533,36321	79533,36321	88	Icicle Haven	56	0	r_talk127	0
54	Нана	1	24	0	79849,36993	79849,36993	54	Icicle Haven	56	0	r_talk175	0
55	Старик-предсказатель	1	429	11	80869,37361	80869,37361	39	Icicle Haven	56	0	r_talk176	0
56	Портальщик - Лили	1	400	7	81800,35420	81800,35420	159	Icicle Haven	56	0	transmittal	0
57	Тай	1	445	0	212875,54026	212875,54026	179	Skeleton Haven	60	0	r_talk177	0
58	Диспетчер порта - Хакс	1	453	9	164218,198624	164218,198624	9	Isle of Fortune	70	0	r_talk202	0
59	Диспетчер порта - Грегори	1	453	9	19433,171580	19433,171580	20	Salva Haven	83	0	r_talk203	0
60	Диспетчер порта - Оди	1	453	9	73818,380324	73818,380324	20	Karmas Haven	84	0	r_talk204	0
61	Диспетчер порта - Рамус	1	453	9	229717,372373	229717,372373	0	Muse Haven	85	0	r_talk205	0
62	Купец - Буви	1	17	4	161915,197629	161915,197629	54	Isle of Fortune	70	0	r_talk206	0
63	Купец - Паниро	1	17	4	126028,57359	126028,57359	155	Lower Icicle Castle	20	0	r_talk209	0
64	Грузчик - Алкинс	1	440	9	105951,67052	105951,67052	189	Atlantis Haven	59	0	r_talk220	0
65	Островной портальщик - Джульетта	1	11	7	163428,196823	163428,196823	219	Isle of Fortune	70	0	island	0
67	Островной портальщик - Ланна	1	11	7	219573,278526	219573,278526	-137	Autumn Island	29	0	r_talk223	0
68	Люк	1	454	0	132068,58570	132068,58570	302	Lower Icicle Castle	20	0	r_talk226	0
69	Мастер Кера	1	401	0	266432,65465	266432,65465	56	Icespire Haven	64	0	r_talk227	0
70	Саша	1	423	0	267878,63126	267878,63126	169	Icespire Haven	64	0	r_talk232	0
71	Кевин Вульф	1	429	0	268875,62828	268875,62828	179	Icespire Haven	64	0	r_talk233	0
72	Парикмахер	1	19	17	132674,53171	132674,53171	211	Lower Icicle Castle	20	0	r_talk234	0
73	Лавочник - Данман	1	19	13	267328,65777	267328,65777	3	Icespire Haven	64	0	r_talk241	0
74	Грузчик - Джас	1	440	9	198124,55024	198124,55024	160	Icespire	22	0	r_talk246	0
75	Кузнец - Ву Син	1	733	1	331665,251639	331665,251639	354	Spring Town	24	0	b_talk1	0
76	Трактирщик - Длинный Эр	1	737	11	330251,250183	330251,250183	174	Spring Town	24	0	b_talk2	0
77	Бакалейщица - Луна	1	758	12	327981,250143	327981,250143	159	Spring Town	24	0	b_talk3	0
78	Купец - Юрий	1	756	4	319561,250611	319561,250611	118	Spring Town	24	0	b_talk4	0
79	Портальщик - Чунь Ли	1	732	7	332693,251188	332693,251188	339	Spring Town	24	0	b_talk5	0
80	Прорицатель - Фокус-Покус	1	759	0	326150,250244	325750,250244	354	Spring Town	24	0	b_talk6	0
81	Бармен - Санг Ди	1	738	0	328713,250185	328713,250185	174	Spring Town	24	0	b_talk7	0
82	Диспетчер порта - Шуанг	1	760	9	340930,256021	340930,256021	189	Spring Town	24	0	b_talk8	0
83	Ростовщик - Ванг Мо	1	755	0	329078,251295	329078,251295	354	Spring Town	24	0	b_talk9	0
84	Страж - Цяо	1	771	0	330384,253395	330384,253395	9	Spring Town	24	0	b_talk10	0
85	Страж - Чжоу	1	773	0	329820,253400	329820,253400	339	Spring Town	24	0	b_talk11	0
86	Юноша - Облако	1	772	0	327579,246787	327579,246787	219	Spring Town	24	0	b_talk12	0
87	Юноша - Туман	1	774	0	324125,253336	324125,253336	281	Spring Town	24	0	b_talk13	0
88	Билл	1	779	0	323545,255054	323545,255054	9	Spring Town	24	0	b_talk14	0
89	Ванг Ронг	1	775	0	326505,254765	326505,254765	324	Spring Town	24	0	b_talk15	0
90	Северный пират - Якомото	1	736	0	221900,328600	221900,328600	9	Spring Town	24	0	b_talk16	0
91	Парикмахер	1	735	0	330030,251341	330030,251341	9	Spring Town	24	0	b_talk17	0
92	Диспетчер порта - Квинг	1	442	9	368558,265209	368558,265209	219	Spring Town	24	0	b_talk19	0
93	Диспетчер порта - Юнь	1	442	9	333797,352337	333797,352337	118	Spring Town	24	0	b_talk20	0
94	Акционер	1	415	4	131300,48900	131300,48900	180	Lower Icicle Castle	20	0	extazy_2016	0
95	Очаг	1	839	9	325750,250244	325750,250244	354	Spring Town	24	0	star_talk02	0
96	Костер	1	867	0	136300,56300	136300,56300	180	Lower Icicle Caslte	20	0	b_talk25	0
97	Анализационный Аппарат	1	866	0	134100,56500	130700,50000	45	Lower Icicle Castle	20	0	b_talk28	0
98	Администратор Хаоса	1	424	0	137411,52911	137411,52911	210	Lower Icicle Castle	20	0	kk_talk01	0
100	Помощник - Блу	1	442	0	134000,56100	134000,56100	30	Lower Icicle Castle	20	0	max_talka1	0
101	Бабушка Спичка	1	25	0	136400,56100	136400,56100	180	Lower Icicle Castle	20	0	max_talka2	0
102	Лохотрон	1	838	0	130400,52900	130400,52900	144	¦B±щАЗ±¤ПВіЗ¤U«°	20	0	star_talk03	0
103	Администратор Священной Войны	1	424	0	145000,61300	145000,61300	90	Lower Icicle Castle	20	0	roico_talk	0
106	Баффалка Хаоса	1	11	15	136400,52900	136400,52900	180	Argent City	1	0	BopoH	0
107	Сиделка - Джина	1	29	3	137187,52832	137187,52832	180	Argent City	1	0	r_talk04	r_npcstate04
108	Уникальные апарели на Ланса	1	803	0	324900,252200	324900,252200	90	Spring Town	20	0	BopoHangel_2	0
109	Уникальные апарели на Карциза	1	805	2	324900,252000	324900,252000	90	Spring Town	20	0	BopoHangel_3	0
100	Уникальные апарели на Филис	1	804	0	324900,251800	324900,251800	90	Spring Town	24	0	BopoHangel_4	0
101	Уникальные апарели на ами	1	810	0	324900,251600	324900,251600	90	Spring Town	24	0	BopoHangel_5	0
102	Уникальные апарели оружий	1	473	0	325100,252400	325100,252400	10	Spring Town	103	0	BopoHangel10	0
//103	Торговец 1 ТОП гильдии	1	16	0	133700,54600	133700,54600	0	Argent City	1	0	r_talkmo2011	0
//104	Портальщица к БД босам Абадона	1	28	0	135600,58500	135600,58500	10	Argent City	1	0	r_talkmo2013	0
//111	Экзаменатор	1	16	0	133000,46800	133000,46800	180	Lower Icicle Castle	20	0	reading_talk01	0
//112	Переводной Экзаменатор	1	16	0	132200,46800	132200,46800	180	Lower Icicle Castle	20	0	reading_talk02	0
//113	Торговец 1 ТОП гильдии	1	12	0	131300,48900	131300,48900	180	Atlantis Snow Field	21	0	Poslanik_27	0
114	Баффалка Баунти	1	11	15	134000,58700	134000,58700	324	Argent City	1	0	BopoH	0
115	Сиделка - Джина	1	29	3	133600,58800	133600,58800	324	Argent City	1	0	r_Bounty	r_npcstate04
99	КомбайнёрчикК	1	771	4	133400,53400	133400,53400	180	Lower Icicle Castle	20	0	BopoH_2017	0
116	Фея Нордскола	1	423	0	128300,51500	128300,51500	144	Atlantis Snow Field	21	0	r_talkmmorpg	0
117	Сторож портала	1	425	0	133450,58450	133450,58450	90	Argent City	1	0	BopoHa_angel	0
118	Торговец чёрного рынка	1	415	4	137000,58700	137000,58700	90	Lower Icicle Castle	20	0	leo_talk10	0
119	Фёдор	1	415	4	137000,58900	137000,58900	90	Lower Icicle Castle	20	0	leo_talkcc	0
120	Даритель Подарков	1	16	0	130700,50000	130700,50000	-109	Lower Icicle Castle	20	0	pre_talk	0
121	Петя Шапочкин	1	404	0	128621,53370	128621,53370	309	Rockery Haven	58	0	r_IIIapki	0
