//spawnid	startpos	endpos	direction	monsterID	count	Rfprobability	RFTime	commotion	note	Region ID
1	215000,252800	229000,267600	-1	185,75	14,14	100,100	10,10	40	0	Argent 1
2	215000,252800	229000,260000	-1	71,184	18,18	100,100	10,10	40	0	Argent 1A
3	215000,260000	229000,267600	-1	71,103	21,21	100,100	10,10	40	0	Argent 1B
4	202700,252800	215000,267600	-1	75,71,103	7,7,7	100,100,100	10,10,10	40	0	Argent 2
5	202700,252800	208700,260000	-1	119	28	100	10	40	0	Argent 2A
6	208700,260000	215000,267600	-1	75,185	14,14	100,100	10,10	40	0	Argent 2B
7	208700,252800	215000,260000	-1	119,184	8,8	100,100	10,10	40	0	Argent 2C
8	202700,260000	208700,267600	-1	125,103	8,8	100,100	10,10	40	0	Argent 2D
9	201900,267500	216200,278600	-1	75,185	14,14	100,100	10,10	40	0	Argent 3
10	201900,272000	210000,278600	-1	206,103	23,23	100,100	10,10	40	0	Argent 3A
11	210000,267500	216200,278600	-1	71,103	21,21	100,100	10,10	40	0	Argent 3B
12	193200,261700	201400,277700	-1	103,104,125	7,7,8	100,100,100	10,10,10	40	0	Argent 4
13	195200,265700	198400,273700	-1	125,126	28,8	100,100	10,15	40	0	Argent 4A
14	157500,251600	202200,261000	-1	119,237	9,9	100,100	10,10	40	0	Argent 5
15	190000,251600	200000,261000	-1	237	31	100	10	40	0	Argent 5A
16	163000,254700	175500,261000	-1	189	42	100	20	40	0	Argent 5B
17	178700,246700	201700,251800	-1	103	10	100	10	40	0	Argent 6
18	178700,246700	184700,247700	-1	214	14	100	15	40	0	Argent 6A
19	190000,242700	201700,251800	-1	237,119	17,14	100,100	10,10	40	0	Argent 6B
20	176700,249700	180000,251800	-1	227,274	7,1	100,100	300,300	40	0	Argent 6C1
21	170700,247700	184000,255800	-1	227,31	4,15	100,100	15,15	40	0	Argent 6C2
22	154400,260600	164500,277200	-1	237	10	100	10	40	0	Argent 7
23	156400,262600	162500,275200	-1	252	59	100	20	40	0	Argent 7A
24	141000,260000	158700,277700	-1	224,76	11,9	100,100	20,25	40	0	Argent 8
25	144000,264000	156700,275700	-1	298	25	100	25	40	0	Argent 8A
26	126100,260000	141000,277700	-1	189,224	11,11	100,100	15,20	40	0	Argent 9
27	132000,264000	140000,272700	-1	225,299	20,21	100,100	30,30	40	0	Argent 9A
28	183000,278400	197100,296300	-1	75,185,125,104	5,5,8,8	100,100,100,100	10,10,10,10	40	0	Argent 10
29	185000,280400	196100,290300	-1	258	56	100	10	40	0	Argent 10A
30	170400,278400	183000,296300	-1	75,185,71,258	4,4,5,6	100,100,100,100	10,10,10,10	40	0	Argent 11
31	172400,280400	180000,291300	-1	126	38	100	15	40	0	Argent 11A
32	149700,278800	168100,294800	-1	103,184	12,12	100,100	10,10	40	0	Argent 12
33	155700,282800	163100,290800	-1	189	42	100	20	40	0	Argent 12A
34	124700,277600	153200,294700	-1	189,139	11,11	100,100	20,20	40	0	Argent 13
35	129700,284600	153200,294700	-1	85,295	31,45	100,100	25,20	40	0	Argent 13A
36	154500,295400	170800,308000	-1	258	14	100	10	40	0	Argent 14
37	157000,298400	167800,305000	-1	94	66	100	20	40	0	Argent 14A
38	154500,308000	170800,319800	-1	185	14	100	10	40	0	Argent 15
39	157500,311000	167800,316800	-1	139	56	100	20	40	0	Argent 15A
40	125100,294200	156800,319800	-1	189,252	10,17	100,100	15,20	40	0	Argent 16
41	125100,296200	151800,316800	-1	224,264	42,38	100,100	20,25	40	0	Argent 16A
42	59100,223500	77500,253500	-1	205,107,248	20,70,70	100,100,100	120,120,120	40	0	Forest 1
43	59100,223500	70000,238500	-1	519	57	100	120	40	0	Forest 1A
44	60000,238500	72500,253500	-1	547,55	26,26	100,100	120,120	40	0	Forest 1B
45	103100,260000	126200,267800	-1	224	11	100	20	40	0	Forest 2
46	107100,260000	125200,267800	-1	80	28	100	70	40	0	Forest 2A
47	103400,268000	125300,283500	-1	295	21	100	25	40	0	Forest 3
48	103400,268000	125300,273000	-1	136	42	100	30	40	0	Forest 3A
49	120000,268000	125300,280500	-1	127	31	100	70	40	0	Forest 3B
50	98600,283500	124900,301200	-1	252	31	100	20	40	0	Forest 4
