//spawnid	startpos	endpos	direction	monsterID	count	Rfprobability	RFTime	commotion	note	Region ID
1	47500,20000	53300,43400	-1	907,906	2,2	100,100	3600,3600	0	0	Advanced rock material
2	8800,19800	14200,42000	-1	1002	20	100	180	0	0	Sacred war small tree
3	8900,19700	14200,42000	-1	933	1	100	10800	0	0	Sacred War Boss
4	25600,17900	27400,27000	-1	911	3	100	1200	0	0	Turtle Shell Ship
5	34100,18000	36100,27200	-1	922	2	100	1200	0	0	Diving Clam
6	25300,33400	27300,44700	-1	921	3	100	1200	0	0	Moon Tail Eel
7	34200,33300	36000,44300	-1	912	2	100	1200	0	0	Hard Shell Ship
8	19400,8600	42400,14900	-1	220	2	100	900	0	0	Purple Mystic Shrub
9	19400,8600	42400,14900	-1	219	2	100	900	0	0	Blue Mystic Shrub
10	19400,8600	42400,14900	-1	217	2	100	900	0	0	Red Mystic Shrub
11	19400,8600	42400,14900	-1	218	2	100	900	0	0	Dry Mystic Shrub
12	19600,46900	14300,53900	-1	220	2	100	900	0	0	Purple Mystic Shrub
13	19600,46900	14300,53900	-1	219	2	100	900	0	0	Blue Mystic Shrub
14	19600,46900	14300,53900	-1	217	2	100	900	0	0	Red Mystic Shrub
15	19600,46900	14300,53900	-1	218	2	100	900	0	0	Dry Mystic Shrub
16	46700,18700	53600,44500	-1	220	2	100	900	0	0	Purple Mystic Shrub
17	46700,18700	53600,44500	-1	219	2	100	900	0	0	Blue Mystic Shrub
18	46700,18700	53600,44500	-1	217	2	100	900	0	0	Red Mystic Shrub
19	46700,18700	53600,44500	-1	218	2	100	900	0	0	Dry Mystic Shrub
20	7300,17400	14400,43500	-1	220	2	100	900	0	0	Purple Mystic Shrub
21	7300,17400	14400,43500	-1	219	2	100	900	0	0	Blue Mystic Shrub
22	7300,17400	14400,43500	-1	217	2	100	900	0	0	Red Mystic Shrub
23	7300,17400	14400,43500	-1	218	2	100	900	0	0	Dry Mystic Shrub
24	7600,8300	14600,14700	-1	220	1	100	900	0	0	Purple Mystic Shrub
25	7600,8300	14600,14700	-1	219	1	100	900	0	0	Blue Mystic Shrub
26	7600,8300	14600,14700	-1	217	1	100	900	0	0	Red Mystic Shrub
27	7600,8300	14600,14700	-1	218	1	100	900	0	0	Dry Mystic Shrub
28	47700,8300	53600,14500	-1	220	1	100	900	0	0	Purple Mystic Shrub
29	47700,8300	53600,14500	-1	219	1	100	900	0	0	Blue Mystic Shrub
30	47700,8300	53600,14500	-1	217	1	100	900	0	0	Red Mystic Shrub
31	47700,8300	53600,14500	-1	218	1	100	900	0	0	Dry Mystic Shrub
32	47500,47500	53600,53900	-1	220	1	100	900	0	0	Purple Mystic Shrub
33	47500,47500	53600,53900	-1	219	1	100	900	0	0	Blue Mystic Shrub
34	47500,47500	53600,53900	-1	217	1	100	900	0	0	Red Mystic Shrub
35	47500,47500	53600,53900	-1	218	1	100	900	0	0	Dry Mystic Shrub
36	7300,47000	14600,53900	-1	220	1	100	900	0	0	Purple Mystic Shrub
37	7300,47000	14600,53900	-1	219	1	100	900	0	0	Blue Mystic Shrub
38	7300,47000	14600,53900	-1	217	1	100	900	0	0	Red Mystic Shrub
39	7300,47000	14600,53900	-1	218	1	100	900	0	0	Dry Mystic Shrub
40	20800,17100	23800,44500	-1	220	1	100	900	0	0	Purple Mystic Shrub
41	20800,17100	23800,44500	-1	219	1	100	900	0	0	Blue Mystic Shrub
42	20800,17100	23800,44500	-1	217	1	100	900	0	0	Red Mystic Shrub
43	20800,17100	23800,44500	-1	218	1	100	900	0	0	Dry Mystic Shrub
44	28600,17400	32700,44600	-1	220	1	100	900	0	0	Purple Mystic Shrub
45	28600,17400	32700,44600	-1	219	1	100	900	0	0	Blue Mystic Shrub
46	28600,17400	32700,44600	-1	217	1	100	900	0	0	Red Mystic Shrub
47	28600,17400	32700,44600	-1	218	1	100	900	0	0	Dry Mystic Shrub
48	37600,17100	40600,44500	-1	220	1	100	900	0	0	Purple Mystic Shrub
49	37600,17100	40600,44500	-1	219	1	100	900	0	0	Blue Mystic Shrub
50	37600,17100	40600,44500	-1	217	1	100	900	0	0	Red Mystic Shrub
51	37600,17100	40600,44500	-1	218	1	100	900	0	0	Dry Mystic Shrub
