//Порядковый номер	Название причёски	Цвет	Необходимый предмет №0	Необходимый предмет №1	Необходимый предмет №2	Необходимый предмет №3	Необходимое золото	Модель причёски которая получится	Модель причёски при провале	Доступная цветовой спектр №1	Доступная цветовой спектр №2	Доступная цветовой спектр №3	Доступная цветовой спектр №4	Номер причёски в таблице	Название модели
1	Прическа 1	Красный	1807,1	1808,1	1797,5	1806,1	100000	2009	1999	1	0	0	0	2009	0000090001
2	Прическа 1	Оранжевый	1807,1	1808,1	1798,5	1806,1	100000	2010	1999	1	0	0	0	2010	0000100001
3	Прическа 1	Желтый	1807,1	1808,1	1799,5	1806,1	100000	2000	1999	1	0	0	0	2000	0000000001
4	Прическа 1	Голубой	1807,1	1808,1	1800,5	1806,1	100000	2011	1999	1	0	0	0	2011	0000110001
5	Прическа 1	Зеленый	1807,1	1808,1	1801,5	1806,1	100000	2012	1999	1	0	0	0	2012	0000120001
6	Прическа 1	Синий	1807,1	1808,1	1802,5	1806,1	100000	2013	1999	1	0	0	0	2013	0000130001
7	Прическа 1	Пурпурный	1807,1	1808,1	1803,5	1806,1	100000	2014	1999	1	0	0	0	2014	0000140001
8	Прическа 2	Красный	1807,1	1808,1	1797,5	1804,1	100000	2001	1999	1	0	0	0	2001	0000010001
9	Прическа 2	Оранжевый	1807,1	1808,1	1798,5	1804,1	100000	2015	1999	1	0	0	0	2015	0000150001
10	Прическа 2	Желтый	1807,1	1808,1	1799,5	1804,1	100000	2016	1999	1	0	0	0	2016	0000160001
11	Прическа 2	Голубой	1807,1	1808,1	1800,5	1804,1	100000	2017	1999	1	0	0	0	2017	0000170001
12	Прическа 2	Зеленый	1807,1	1808,1	1801,5	1804,1	100000	2018	1999	1	0	0	0	2018	0000180001
13	Прическа 2	Синий	1807,1	1808,1	1802,5	1804,1	100000	2019	1999	1	0	0	0	2019	0000190001
14	Прическа 2	Пурпурный	1807,1	1808,1	1803,5	1804,1	100000	2020	1999	1	0	0	0	2020	0000200001
15	Прическа 3	Красный	1807,1	1808,1	1797,5	1805,1	100000	2021	1999	1	0	0	0	2021	0000210001
16	Прическа 3	Оранжевый	1807,1	1808,1	1798,5	1805,1	100000	2022	1999	1	0	0	0	2022	0000220001
17	Прическа 3	Желтый	1807,1	1808,1	1799,5	1805,1	100000	2002	1999	1	0	0	0	2002	0000020001
18	Прическа 3	Голубой	1807,1	1808,1	1800,5	1805,1	100000	2023	1999	1	0	0	0	2023	0000230001
19	Прическа 3	Зеленый	1807,1	1808,1	1801,5	1805,1	100000	2024	1999	1	0	0	0	2024	0000240001
20	Прическа 3	Синий	1807,1	1808,1	1802,5	1805,1	100000	2025	1999	1	0	0	0	2025	0000250001
21	Прическа 3	Пурпурный	1807,1	1808,1	1803,5	1805,1	100000	2026	1999	1	0	0	0	2026	0000260001
22	Прическа 4	Красный	1807,1	1808,1	1797,5	1806,1	100000	2027	1999	1	0	0	0	2027	0000270001
23	Прическа 4	Оранжевый	1807,1	1808,1	1798,5	1806,1	100000	2028	1999	1	0	0	0	2028	0000280001
24	Прическа 4	Желтый	1807,1	1808,1	1799,5	1806,1	100000	2029	1999	1	0	0	0	2029	0000290001
25	Прическа 4	Голубой	1807,1	1808,1	1800,5	1806,1	100000	2030	1999	1	0	0	0	2030	0000300001
26	Прическа 4	Зеленый	1807,1	1808,1	1801,5	1806,1	100000	2031	1999	1	0	0	0	2031	0000310001
27	Прическа 4	Синий	1807,1	1808,1	1802,5	1806,1	100000	2003	1999	1	0	0	0	2003	0000030001
28	Прическа 4	Пурпурный	1807,1	1808,1	1803,5	1806,1	100000	2032	1999	1	0	0	0	2032	0000320001
29	Прическа 5	Белый	1807,1	1808,1	4610,5	1804,1	100000	2004	1999	1	0	0	0	2004	0000040001
30	Прическа 5	Красный	1807,1	1808,1	1797,5	1804,1	100000	2033	1999	1	0	0	0	2033	0000330001
31	Прическа 5	Оранжевый	1807,1	1808,1	1798,5	1804,1	100000	2034	1999	1	0	0	0	2034	0000340001
32	Прическа 5	Желтый	1807,1	1808,1	1799,5	1804,1	100000	2035	1999	1	0	0	0	2035	0000350001
33	Прическа 5	Голубой	1807,1	1808,1	1800,5	1804,1	100000	2036	1999	1	0	0	0	2036	0000360001
34	Прическа 5	Зеленый	1807,1	1808,1	1801,5	1804,1	100000	2037	1999	1	0	0	0	2037	0000370001
35	Прическа 5	Синий	1807,1	1808,1	1802,5	1804,1	100000	2038	1999	1	0	0	0	2038	0000380001
