//Serial	NPC Name	NPC Type	Chrindex ID	Show Mini-map	Coordinates starting point	Coordination Goal	NPC placement	Region	Region ID	NPC Script	info manage	Test Status
0	Портальщик Шайтана - Мэй	1	424	7	91816,356229	91816,356229	204	Shaitan City	13	0	GoToWhere	0
1	Верховный жрец - Геньон	1	23	0	86299,350092	86299,350092	264	Shaitan City	13	0	r_talk47	0
2	Предводитель клана - Альбуда	1	420	0	89804,364010	89804,364010	174	Shaitan City	13	0	r_talk48	0
3	Рабочий-Оей	1	19	13	86214,359121	86214,359121	204	Shaitan City	13	0	r_talk49	0
4	Моряк - Мойа	1	17	2	89463,360213	89463,360213	174	Shaitan City	13	0	r_talk50	0
5	Банкир - Юдис	1	412	0	90637,353900	90637,353900	174	Shaitan City	13	0	r_talk51	0
6	Береговой страж - Франко	1	12	0	86734,366071	86734,366071	219	Shaitan City	13	0	r_talk52	0
7	Кузнец - Коваль	1	21	1	90260,349526	90260,349526	219	Shaitan City	13	0	r_talk53	0
8	Девочка - Хэлен	1	30	0	88307,352019	88307,352019	204	Shaitan City	13	0	r_talk54	0
9	Бакалейщик - Амос	1	408	12	84040,358567	84040,358567	189	Shaitan City	13	0	r_talk55	0
10	Трактирщица - Харкен	1	411	0	81035,349813	81035,349813	144	Shaitan City	13	0	r_talk56	0
11	Сиделка - Ленди	1	407	3	89025,356925	89025,356925	182	Shaitan City	13	0	r_talk57	0
12	Пират Деки		1	17	0	79222,367002	79222,367002	54	Shaitan City	13	0	r_talk58	0
13	Наставница - Рислина	1	11	15	87614,357250	87614,357250	174	Shaitan City	13	0	r_talk59	0
14	Корабел - Франклин	1	404	0	90111,366888	90111,366888	-94	Shaitan City	13	0	r_talk60	0
15	Штаб флота - Адмирал Ник	1	443	0	86507,364804	86507,364804	174	Shaitan City	13	0	r_talk61	0
16	Глава Шайтана - Плуто	1	415	0	87362,354566	87362,354566	174	Shaitan City	13	0	r_talk62	0
17	Прохожий - Вово	1	19	0	84634,349945	84634,349945	174	Shaitan City	13	0	r_talk63	0
18	Овечка - Волли	1	435	0	89875,368331	89875,368331	183	Shaitan City	13	0	r_talk64	0
19	Помощник - Тинтик	1	17	0	87171,354774	87171,354774	159	Shaitan City	13	0	r_talk65	0
20	Прохожий - Яй	1	403	0	79792,355469	79792,355469	324	Shaitan City	13	0	r_talk66	0
21	Песчаный бандит - Супермунь	1	425	0	108068,308688	108068,308688	114	Southern Desert	15	0	r_talk67	0
22	Принц-тритон - Хассан	1	422	0	125471,349171	125471,349171	319	Prairie Desert	16	0	r_talk68	0
23	Музыкант - Шармель	1	424	0	66465,309367	66465,309367	204	Prairie Desert	16	0	r_talk69	0
24	Благочестивая жрица - Ада	1	430	0	86248,330381	86248,330381	159	Old Shaitan City	14	0	r_talk70	0
25	Прохожий - Фейру	1	403	0	93176,352977	93176,352977	150	Shaitan City	13	0	r_talk71	0
26	Глава гильдии - Форлан	1	14	6	83171,354853	83171,354853	234	Shaitan City	13	0	r_talk72	0
28	Страж - Майкл	1	12	0	95860,354925	95860,354925	174	Prairie Desert	16	0	r_talk89	0
29	Целительница Шайла 	1	424	11	90311,364658	90311,364658	264	Shaitan City	13	0	r_talk91	0
30	Минелли	1	441	0	124468,318623	124468,318623	234	Babul Haven	62	0	r_talk111	0
31	Августиан	1	437	0	119686,357020	119686,357020	204	Prairie Desert	16	0	r_talk112	0
32	Джейнаа	1	17	0	117710,345654	117710,345654	219	Prairie Desert	16	0	r_talk113	0
33	Дитаро	1	19	0	80464,309888	80464,309888	219	Oasis Haven	57	0	r_talk114	0
34	Рубен Актий	1	10	0	113130,315353	113130,315353	189	Southern Desert	15	0	r_talk115	0
35	Меррикс	1	408	0	111861,361173	111861,361173	174	Southern Desert	15	0	r_talk116	0
36	Гадас	1	404	0	92184,299184	92184,299184	159	Southern Desert	15	0	r_talk117	0
37	Кавойски	1	405	0	77946,309841	77946,309841	9	Oasis Haven	57	0	r_talk120	0
38	Бек	1	402	0	55628,293491	55628,293491	114	Prairie Desert	16	0	r_talk123	0
39	Хэм	1	403	0	82628,334708	82628,334708	189	Old Shaitan City	14	0	r_talk124	0
40	Лавьюри	1	15	0	112743,341706	112743,341706	219	Prairie Desert	16	0	r_talk125	0
41	Робин	1	429	0	113109,330562	113109,330562	159	Prairie Desert	16	0	r_talk128	0
42	Диспетчер порта - Марк	1	448	9	82312,369841	82312,369841	245	Shaitan City	13	0	r_talk153	0
43	Солн	1	425	0	120252,317960	120252,317960	294	Babul Haven	62	0	r_talk133	0
44	Одессий	1	415	0	120106,320193	120106,320193	114	Babul Haven	62	0	r_talk100	0
45	Момо	1	437	11	120982,319677	120982,319677	249	Babul Haven	62	0	r_talk166	0
46	Портальщик - Берин	1	424	7	122229,319650	122229,319650	189	Babul Haven	62	0	transmittal	0
47	Венона	1	444	0	78141,312711	78141,312711	129	Oasis Haven	57	0	r_talk167	0
48	Фей Фей	1	24	0	79742,312908	79742,312908	114	Oasis Haven	57	0	r_talk168	0
49	Маркус	1	449	11	78919,311283	78919,311283	204	Oasis Haven	57	0	r_talk169	0
50	Портальщик - Айна	1	424	7	80390,311472	80390,311472	249	Oasis Haven	57	0	transmittal	0
51	Диспетчер порта - Пол	1	452	9	237202,73768	237202,73768	69	Isle of Chill	31	0	r_talk188	0
52	Диспетчер порта - Томас	1	452	9	174453,377489	174453,377489	339	Canary Isle	38	0	r_talk189	0
53	Диспетчер порта - Ксад	1	452	9	252852,239345	252852,239345	-124	Cupid Isle	37	0	r_talk190	0
54	Диспетчер порта - Луиджи	1	452	9	46444,46825	46444,46825	10	Norite Harbor Haven	75	0	r_talk191	0
55	Диспетчер порта - Буни	1	452	9	204208,63550	204208,63550	20	Aerase Haven	76	0	r_talk192	0
56	Диспетчер порта - Домору	1	452	9	349830,92343	349830,92343	180	Lahu Haven	77	0	r_talk193	0
57	Диспетчер порта - Тиба	1	452	9	308137,213590	308137,213590	-20	Pyrex Haven	78	0	r_talk194	0
58	Диспетчер порта - Барос	1	453	9	202414,275254	202414,275254	-65	Woody Haven	79	0	r_talk195	0
59	Диспетчер порта - Дидан	1	452	9	154435,371225	154435,371225	-45	Gelada Haven	80	0	r_talk196	0
60	Диспетчер порта - Данний	1	452	9	13647,343240	13647,343240	-45	Hubble Haven	81	0	r_talk197	0
61	Диспетчер порта - Сок	1	452	9	319408,350755	319408,350755	20	Ethio Haven	82	0	r_talk198	0
62	Купец - Сибун	1	450	4	238622,73481	238622,73481	264	Isle of Chill	31	0	r_talk199	0
63	Купец - Микки	1	450	4	173958,374885	173958,374885	144	Canary Isle	38	0	r_talk200	0
64	Купец - Юка	1	450	4	251974,239702	251974,239702	84	Cupid Isle	37	0	r_talk201	0
65	Купец - Сейдор	1	450	4	79934,365919	79934,365919	59	Shaitan City	13	0	r_talk208	0
66	Грузчик - Алекс	1	459	9	235697,72603	235697,72603	235	Isle of Chill	31	0	r_talk217	0
67	Грузчик - Евгений	1	459	9	172646,378701	172646,378701	9	Canary Isle	38	0	r_talk218	0
68	Грузчик - Амбер	1	440	9	136903,303352	136903,303352	10	Shaitan City	13	0	r_talk219	0
69	Островной портальщик - Джулия	1	11	7	236614,72624	236614,72624	144	Isle of Chill	31	0	island	0
70	Островной портальщик - Винни	1	11	7	172286,375558	172286,375558	144	Canary Isle	38	0	island	0
71	Островной портальщик - Ванда	1	11	7	252026,240257	252026,240257	84	Cupid Isle	37	0	island	0
72	Пират Джереми	1	451	0	236200,65759	236200,65759	210	Isle of Chill	31	0	r_talk224	0
73	Капитан Джек	1	425	0	167220,377721	167220,377721	110	Canary Isle	38	0	r_talk225	0
74	Парикмахер	1	19	17	84701,360677	84701,360677	270	Shaitan City	13	0	r_talk234	0
75	Лавочник - Аллан	1	19	13	122671,318375	122671,318375	181	Babul Haven	62	0	r_talk240	0
76	Грузчик - Ансто	1	440	9	153525,344928	153525,344928	175	Prairie Desert	16	0	r_talk245	0
77	Генерал Снэйл	1	429	0	80892,361328	80892,361328	130	Shaitan City	13	0	r_talk2017	0
//78	Исследователь Затерянного Города	1	425	0	80915,361585	80915,361585	10	Shaitan City	13	0	r_talk254	0
//79	Исследователь Мира Демонов 	1	421	0	81197,361302	81197,361302	205	Shaitan City	13	0	r_talk255	0
//80	Исследователь Темной Топи	1	19	0	81108,361662	81108,361662	355	Shaitan City	13	0	r_talk256	0
81	Наблюдающий диспетчер порта	1	452	9	82800,370500	82800,370500	180	Shaitan City	13	0	r_talk263	0
82	Грузчик - Али Ку	1	459	9	83246,370701	83246,370701	245	Shaitan City	13	0	m_talk001	0
83	Торговец оружием	1	450	4	87227,364657	87227,364657	175	Shaitan City	13	0	r_talk264	0
//84	Торговец 2 ТОП гильдии	1	450	4	89587,365745	89587,365745	40	Shaitan City	13	0	r_talk265	0
85	Поставщик редких металлов	1	450	4	84801,364147	84801,364147	175	Shaitan City	13	0	r_talk266	0
86	Ученик Кузнеца	1	402	1	90458,350138	90458,350138	219	Shaitan City	13	0	mmm_talk04	0
//87	Индианна Джонс	1	429	0	80300,362000	80300,362000	50	Shaitan City	13	0	llleo_talk01	0
88	Заведующий Питомцами - Ланга	1	840	0	85300,354900	85300,354900	120	Shaitan City	13	0	e_talk01	0
89	Администратор Хаоса	1	424	0	96711,355311	97811,357511	180	Shaitan City	13	0	kk_talk01	0
90	Костер	1	867	0	90500,356300	90500,356300	180	Shaitan City	13	0	b_talk25	0
91	Производственный Генератор	1	887	0	87700,364500	87700,364500	180	Shaitan City	13	0	b_talk27	0
92	Скупщик Руды	1	459	4	90800,352200	90800,352200	270	Shaitan City	13	0	leo_talkbb	0
93	Подросток	1	403	0	88000,364500	88000,364500	180	Shaitan City	13	0	max_talka4	0
94	Бабушка Спичка	1	25	0	90700,356200	90700,356200	265	Shaitan City	13	0	max_talka2	0
95	Онлайн - Помощь	1	430	0	308300,211800	308300,211800	265	ЖдPyrex Haven	78	0	leo_talkzz	0
//96	Лохотрон	1	838	0	85000,355300	85000,355300	115	Йіб°РВіЗ«°	13	0	star_talk03	0
97	Администратор Священной Войны	1	424	0	98100,360200	98100,360200	90	Shaitan City	13	0	roico_talk	0
98	Пират Джек	1	1007	0	91000,356300	91000,356300	204	Shaitan City	13	0	BopoH_trade	0
99	Офицер Связи	1	429	0	87114,358050	87114,358050	182	Shaitan City	13	0	ay_talk01	0
100	Огненный помост	1	1073	0	85700,370800	85700,370800	255	Shaitan City	13	0	ay_talk02	0
101	Сумасшедший Прапорщик	1	809	0	79400,364400	79400,364400	90	Шайтан	13	0	n_talk13	0
102	Снежана Денисовна	1	430	0	82300,353400	82300,353400	45	Шайтан	13	0	r_talkmo2010	0
103	Баффалка Снежной Войны	1	11	15	81200,364300	81200,364300	204	Argent City	1	0	BopoH	0
104	Сиделка - Джина	1	29	3	81400,364300	81400,364300	204	Argent City	1	0	r_FC	r_npcstate04
101	Регистратор	1	16	0	86800,352000	86800,352000	174	Шайтан	13	0	bragi_talk01	0
