//spawnid	startpos	endpos	direction	monsterID	count	Rfprobability	RFTime	commotion	note	·ÖÇø±àºÅ
1	8800,8700	11000,12400	-1	1114,1119	5,1	100,100	10,300	40	0	°µºÚ2¾³1A
2	7400,12800	11000,20200	-1	1114,1119	10,1	100,100	10,300	40	0	°µºÚ2¾³1B
3	11300,6400	13400,20500	-1	1114,1119	10,1	100,100	10,300	40	0	°µºÚ2¾³1C
4	13800,4800	17300,20200	-1	1114,1119	12,2	100,100	10,300	40	0	°µºÚ2¾³1D
5	17700,3900	21500,24600	-1	1114,1119	20,2	100,100	10,300	40	0	°µºÚ2¾³1E
6	5700,27900	7900,32600	-1	1114,1115,1119	3,3,1	100,100,100	10,10,300	40	0	°µºÚ2¾³2A
7	8200,24800	11900,38100	-1	1114,1115,1119	5,5,1	100,100,100	10,10,300	40	0	°µºÚ2¾³2B
8	12200,20600	17500,38000	-1	1114,1115,1119	10,10,1	100,100,100	10,10,300	40	0	°µºÚ2¾³2C
9	17600,24700	21400,36400	-1	1114,1115,1119	5,7,1	100,100,100	10,10,300	40	0	°µºÚ2¾³2D
10	8100,39900	9400,44400	-1	1115,1119	3,1	100,100	10,300	40	0	°µºÚ2¾³3A
11	9600,38100	17600,48800	-1	1115,1119	25,1	100,100	10,300	40	0	°µºÚ2¾³3B
12	12900,49500	17600,50900	-1	1115,1119	5,1	100,100	10,300	40	0	°µºÚ2¾³3C
13	21700,3100	27900,36500	-1	1114,1115,1119	25,20,4	100,100,100	10,10,300	40	0	°µºÚ2¾³4A
14	28000,5500	34300,22800	-1	1114,1116,1119	10,10,2	100,100,100	10,10,300	40	0	°µºÚ2¾³4B
15	34400,9600	37400,23800	-1	1116,1119	15,2	100,100	10,300	40	0	°µºÚ2¾³4C
16	37600,14300	40000,23800	-1	1116,1119	10,1	100,100	10,300	40	0	°µºÚ2¾³4D
17	28100,23000	36000,36600	-1	1114,1116,1119	15,15,3	100,100,100	10,10,300	40	0	°µºÚ2¾³5A
18	36100,23900	41500,32600	-1	1116,1119	20,2	100,100	10,300	40	0	°µºÚ2¾³5B
19	36100,32800	39900,38900	-1	1116,1119	10,1	100,100	10,300	40	0	°µºÚ2¾³5C
20	31200,36800	36000,48700	-1	1116,1119	15,2	100,100	10,300	40	0	°µºÚ2¾³5D
21	36000,39200	38400.44300	-1	1116,1119	5,1	100,100	10,300	40	0	°µºÚ2¾³5E
22	17600,36700	30900,44300	-1	1115,1116,1119	25,2	100,100,100	10,10,300	40	0	°µºÚ2¾³6A
23	17800,44800	32800,52300	-1	1115,1116,1119	15,2	100,100,100	10,10,300	40	0	°µºÚ2¾³6B
24	27300,44700	31100,4700	-1	1116,1119	20,2	100,100	10,300	40	0	°µºÚ2¾³6C
25	24200,47900	31100,51700	-1	1116,1119	10,1	100,100	10,300	40	0	°µºÚ2¾³6D
26	25200,45900	25200,45900	-1	1117	1	100	86400	40	0	°µºÚ2¾³E
