//spawnid	startpos	endpos	direction	monsterID	count	Rfprobability	RFTime	commotion	note	·ÖÇø±àºÅ
1	19700,81800	25800,82600	-1	1082,216,222	2,1,2	100,100,100	22,10,10	40	0	¶¬ÔÂµº1
2	16300,83300	19400,86800	-1	1082,216,222	3,2,1	100,100,100	22,10,10	40	0	¶¬ÔÂµº2
3	18500,87300	22800,89800	-1	1082,216,222	2,1,1	100,100,100	22,10,10	40	0	¶¬ÔÂµº3
4	17900,90600	22100,93200	-1	1082,216,222	5,3,3	100,100,100	22,10,10	40	0	¶¬ÔÂµº4
5	31500,81700	34800,86400	-1	216,222	2,2	100,100	10,10	40	0	¶¬ÔÂµº5
6	37700,19300	420,,28400	-1	1091,216,222	20,2,2	100,100,100	22,10,10	40	0	Ñ©À­µº1
7	42700,17100	47600,48700	-1	1091,1089,216,222	100,20,5,5	100,100,100,100	22,22,10,10	40	0	Ñ©À­µº1A
8	34600,34600	41900,37700	-1	1091,216,222	15,1,1	100,100,100	22,10,10	40	0	Ñ©À­µº1B
9	38700,38600	42100,47100	-1	1091,1089,216,222	15,10,1,1	100,100,100,100	22,22,10,10	40	0	Ñ©À­µº1C
10	48200,32100	51800,49500	-1	1091,216,222	50,5,5	100,100,100	22,10,10	40	0	Ñ©À­µº1D
11	52100,35300	57900,53800	-1	1091,1090,216,222	35,35,3,3	100,100,100,100	22,22,10,10	40	0	Ñ©À­µº1E
12	48300,16100	50800,25900	-1	1091,216,222	25,2,2	100,100,100	22,10,10	40	0	Ñ©À­µº2A
13	52200,20300	55500,25800	-1	1091,216,222	20,1,1	100,100,100	22,10,10	40	0	Ñ©À­µº2B
14	56200,15400	62000,28400	-1	1091,1090,216,222	35,10,5,5	100,100,100,100	22,22,10,10	40	0	Ñ©À­µº2C
15	62600,21700	73100,28200	-1	1091,1090,216,222	25,15,1,1	100,100,100,100	22,22,10,10	40	0	Ñ©À­µº2D
16	59400,28800	73900,33800	-1	1090,216,222	30,2,2	100,100,100	22,10,10	40	0	Ñ©À­µº3A
17	61700,34400	72300,37800	-1	1090,216,222	25,1,1	100,100,100	22,10,10	40	0	Ñ©À­µº3B
18	60200,38500	68400,53900	-1	1087,1090,216,222	38,20,2,2	100,100,100,100	22,22,10,10	40	0	Ñ©À­µº3C
19	69000,40100	72500,46700	-1	1087,1090,216,222	15,15,1,1	100,100,100,100	22,22,10,10	40	0	Ñ©À­µº3D
20	29700,44000	38100,48400	-1	1089,216,222	25,1,1	100,100,100	22,10,10	40	0	Ñ©À­µº4A
21	32200,48800	35700,55600	-1	1089,216,222	18,1,1	100,100,100	22,10,10	40	0	Ñ©À­µº4B
22	36200,54400	50100,57900	-1	1089,216,222	23,1,1	100,100,100	22,10,10	40	0	Ñ©À­µº4C
23	40900,58300	50100,63600	-1	1089,216,222	25,1,1	100,100,100	22,10,10	40	0	Ñ©À­µº4D
24	50400,54400	56400,74000	-1	1087,1089,216,222	45,23,2,2	100,100,100,100	22,10,10	40	0	Ñ©À­µº5A
25	57000,54400	63600,68900	-1	1087,216,222	50.2,2	100,100,100	22,10,10	40	0	Ñ©À­µº5B
26	64100,66400	70900,70000	-1	1087,216,222	10,1,1	100,100,100	22,10,10	40	0	Ñ©À­µº5C
27	56200,74500	58900,77100	-1	1087,216	3,1	100,100,100	22,10	40	0	Ñ©À­µº5D
28	85000,12900	90000,22700	-1	1092,1090,222	20,20,2	100,100,100	22,22,10	40	0	Ñ©Î¬µº1A
29	90500,8100	98900,26000	-1	1092,1090,216,222	40,40,10,10	100,100,100,100	22,22,10,10	40	0	Ñ©Î¬µº1B
30	96300,3400	108500,10000	-1	1091,1092,216,222	20,25,5,5	100,100,100,100	22,22,10,10	40	0	Ñ©Î¬µº1C
31	99400,17800	106800,25900	-1	1091,1092,216,222	25,15,5,5	100,100,100,100	22,22,10,10	40	0	Ñ©Î¬µº1D
32	108200,8000	121300,18000	-1	1091,1092,216,222	30,30,3,3	100,100,100,100	22,22,10,10	40	0	Ñ©Î¬µº2A
33	121800,10500	128700,18100	-1	1091,216,222	35,5,2	100,100,100	22,10,10	40	0	Ñ©Î¬µº2B
34	109700,18300	131700,26000	-1	1091,216,222	50,3,3	100,100,100	22,10,10	40	0	Ñ©Î¬µº2C
35	95500,26400	126000,34000	-1	1091,216,222	50,3,3	100,100,100	22,10,10	40	0	Ñ©Î¬µº2D
36	110500,34500	114900,36700	-1	1090	7	100	22	40	0	Ñ©Î¬µº3
37	115300,34400	124400,38000	-1	1091,216	25,2	100,100	22,10	40	0	Ñ©Î¬µº3A
38	110500,42400	117200,44300	-1	1090,1091,216	10,5,1	100,100,100	22,22,10	40	0	Ñ©Î¬µº3B
39	117700,41600	123700,47500	-1	1090,1091,216	5,10,1	100,100,100	22,22,10	40	0	Ñ©Î¬µº3C
40	95400,34400	110000,45800	-1	1090,1091,216,222	35,20,3,3	100,100,100,100	22,22,10,10	40	0	Ñ©Î¬µº4A
41	88900,37600	94900,45900	-1	1090,216,222	20,1,2	100,100,100	22,10,10	40	0	Ñ©Î¬µº4B
42	82500,40100	88600,46800	-1	1090,216,222	20,2,1	100,100,100	22,10,10	40	0	Ñ©Î¬µº4C
43	77900,47200	83700,50900	-1	1088,1090,222	5,5,1	100,100,100	22,22,10	40	0	Ñ©Î¬µº4D
44	88100,46400	106000,53200	-1	1088,1090,216,222	25,20,5,3	100,100,100,100	22,22,10,10	40	0	Ñ©Î¬µº4E
45	74500,54400	78800,58000	-1	1088,216	5,1	100,100	22,10	40	0	Ñ©Î¬µº5A
46	79300,53700	85200,61900	-1	1088,216	10,2	100,100	22,10	40	0	Ñ©Î¬µº5B
47	85700,53700	92400,61900	-1	1088,216	10,2	100,100	22,10	40	0	Ñ©Î¬µº5C
48	92900,53600	105300,56400	-1	1088,1090,216	8,8,1	100,100,100	22,22,10	40	0	Ñ©Î¬µº5D
49	99400,56900	106100,59800	-1	1088,1090,216	5,5,2	100,100,100	22,22,10	40	0	Ñ©Î¬µº5E
50	110400,35800	110400,35800	-1	1100	1	100	1800	40	0	Ñ©Î¬µº
51	45700,92100	50000,96400	-1	1082,216	7,2	100,100	18,10	40	0	¶¬ºþµº1A
52	45800,96800	52600,100400	-1	1082,216	7,2	100,100	18,10	40	0	¶¬ºþµº1B
53	54500,91900	57300,95600	-1	1082,216	3,1	100,100	18,10	40	0	¶¬ºþµº1C
54	55300,96000	60600,100600	-1	1082,216	5,1	100,100	18,10	40	0	¶¬ºþµº1D
55	39300,100800	58200,105900	-1	1082,216	30,5	100,100	18,10	40	0	¶¬ºþµº1E
56	39300,106400	55000,11100	-1	1082,216	25,3	100,100	18,10	40	0	¶¬ºþµº1F
57	44900,111100	54900,115700	-1	1082,216	20,3	100,100	18,10	40	0	¶¬ºþµº1G
58	72900,84700	75000,87700	-1	1082,1084	2,2	100,100	18,18	40	0	¶¬ºþµº2A
59	73700,87900	81300,89200	-1	1082,1084	3,3	100,100	18,18	40	0	¶¬ºþµº2B
60	70500,89600	83700,93200	-1	1082,1084	10,8	100,100	18,18	40	0	¶¬ºþµº2C
61	66600,93700	86100,98000	-1	1084	25	100	18	40	0	¶¬ºþµº2D
62	90500,91200	93300,95700	-1	1085	5	100	18	40	0	¶¬ºþµº2E
63	86500,95200	91800,98100	-1	1085	10	100	18	40	0	¶¬ºþµº2F
64	60900,98300	96500,104400	-1	1084,1085	15,15	100,100	18,18	40	0	¶¬ºþµº3A
65	57700,104500	101400,111500	-1	1084,1085	45,35	100,100	18,18	40	0	¶¬ºþµº3B
66	101700,108800	107000,111600	-1	1086	12	100	18	40	0	¶¬ºþµº3C
67	64100,111900	75600,116400	-1	1085	20	100	18	40	0	¶¬ºþµº3D
68	82500,111900	107000,115700	-1	1086	40	100	18	40	0	¶¬ºþµº3E
69	45600,116000	51700,120500	-1	1082,1083,222	10,10,2	100,100,100	18,18,10	40	0	¶¬ºþµº4A
70	41800,121000	50200,126000	-1	1082,1083,222	10,10,2	100,100,100	18,18,10	40	0	¶¬ºþµº4B
71	30400,123900	41300,126100	-1	1082,1083,222	5,5,2	100,100,100	18,18,10	40	0	¶¬ºþµº4C
72	21800,120900	30100,126100	-1	1082,1083,222	5,5,2	100,100,100	18,18,10	40	0	¶¬ºþµº4D
73	24900,126400	50000,130900	-1	1084	35	100	18	40	0	¶¬ºþµº4E
74	53700,117600	57500,122100	-1	1084	7	100	18	40	0	¶¬ºþµº5A
75	52800,121400	56600,133300	-1	1084	15	100	18	40	0	¶¬ºþµº5B
76	56900,124100	60700,134100	-1	1084,1085	10,5	100,100	18,18	40	0	¶¬ºþµº5C
77	60900,121600	63000,129200	-1	1084,1085	5,7	100,100	18,18	40	0	¶¬ºþµº5D
78	63200,116600	70100,126800	-1	1085	20	100	18	40	0	¶¬ºþµº5E
79	64900,127100	72600,141200	-1	1085	35	100	18	40	0	¶¬ºþµº5F
